Episode,Seed,Sparsity,Total Steps,Reward,Completion Rate
224,781898,0.5,149,68.38117476,0.449
225,876722,0.5,181,104.8588165,0.681
226,291122,0.7,174,100.2346325,0.674
227,690225,0.3,192,89.65176895,0.492
228,308113,0.7,87,57.55833721,0.787
229,491116,0.7,149,67.93360358,0.449
230,151078,0.5,143,64.85735822,0.443
231,534645,0.3,201,117.0435098,0.701
232,468826,0.3,133,89.95331857,0.833
233,362326,0.7,113,75.23177746,0.813
234,814606,0.7,160,74.02826321,0.46
235,99917,0.7,155,69.93658088,0.455
236,200992,0.7,169,77.090343,0.469
237,605245,0.5,161,73.18940701,0.461
238,906329,0.5,156,89.59916231,0.656
239,398927,0.7,186,108.2694688,0.686
240,781051,0.3,150,68.62088555,0.45
241,153073,0.7,155,105.4487,0.855
242,189617,0.7,131,59.90165439,0.431
243,278233,0.5,209,100.1793119,0.509
244,273855,0.7,184,107.2468679,0.684
245,983364,0.5,229,110.8439514,0.529
246,461143,0.7,143,81.26517811,0.643
247,58699,0.7,133,58.76177348,0.433
248,658272,0.3,202,95.41665107,0.502
249,881059,0.3,132,89.14743295,0.832
250,438140,0.3,116,77.86846641,0.816
251,571996,0.3,95,63.76069859,0.795
252,470185,0.5,116,78.21380463,0.816
253,523190,0.7,91,50.11851871,0.591
254,750051,0.7,180,83.1079957,0.48
255,678831,0.5,161,74.58036432,0.461
256,324684,0.7,172,98.80052763,0.672
257,969232,0.3,142,65.66622609,0.442
258,30326,0.3,140,95.00953901,0.84
259,842498,0.3,129,87.08146548,0.829
260,134532,0.3,89,59.11407554,0.789
261,428987,0.5,90,60.0097408,0.79
262,520347,0.3,189,110.1346695,0.689
263,156394,0.5,103,68.600739,0.803
264,418765,0.5,70,37.76903394,0.57
265,32276,0.7,175,101.2745789,0.675
266,586449,0.5,134,61.24602103,0.434
267,761471,0.5,145,82.51112759,0.645
268,438819,0.3,147,83.91029531,0.647
269,52865,0.7,143,97.02639911,0.843
270,424119,0.7,142,63.95308721,0.442
271,283864,0.3,113,50.79269601,0.413
272,243271,0.3,172,117.8742309,0.872
273,585320,0.3,116,77.74717569,0.816
274,479951,0.3,149,101.1818706,0.849
275,828228,0.7,79,52.37504804,0.779
